location_key,city,state,venue,event_date,event_id
"Bellingham, Galbraith",Bellingham,WA,Galbraith,2023-06-11,2023-06-11_Bellingham_Galbraith
"Cle Elum, Roslyn High School",Cle Elum,WA,Roslyn High School,2024-09-29,2024-09-29_Cle_Elum_Roslyn_High_School
"Cle Elum, Roslyn High School",Cle Elum,WA,Roslyn High School,2025-04-27,2025-04-27_Cle_Elum_Roslyn_High_School
"Ephrata, Ephrata, WA",Ephrata,WA,Lions Park,2023-04-30,2023-04-30_Ephrata_Ephrata_WA
"Gig Harbor, 360 Trails",Gig Harbor,WA,360 Trails,2023-04-16,2023-04-16_Gig_Harbor_360_Trails
"Gig Harbor, 360 Trails",Gig Harbor,WA,360 Trails,2024-05-19,2024-05-19_Gig_Harbor_360_Trails
"Gig Harbor, 360 Trails",Gig Harbor,WA,360 Trails,2024-10-13,2024-10-13_Gig_Harbor_360_Trails
"Gig Harbor, 360 Trails",Gig Harbor,WA,360 Trails,2025-06-01,2025-06-01_Gig_Harbor_360_Trails
"Lakewood, Fort Steilacoom",Lakewood,WA,Fort Steilacoom,2025-04-13,2025-04-13_Lakewood_Fort_Steilacoom
"Lakewood, Fort Steilacoom",Lakewood,WA,Fort Steilacoom,2025-09-28,2025-09-28_Lakewood_Fort_Steilacoom
"Leavenworth, Ski Hill",Leavenworth,WA,Ski Hill,2025-05-04,2025-05-04_Leavenworth_Ski_Hill
"Port Gamble, Forest Heritage Park",Port Gamble,WA,Forest Heritage Park,2023-09-17,2023-09-17_Port_Gamble_Port_Gamble_Race_Camping
"Spokane, Riverside State Park",Spokane,WA,Riverside State Park,2023-05-14,2023-05-14_Spokane_Riverside_State_Park
"Spokane, Riverside State Park",Spokane,WA,Riverside State Park,2024-04-14,2024-04-14_Spokane_Riverside_State_Park
"Twisp, Loup Loup",Twisp,WA,Loup Loup,2025-10-12,2025-10-12_Twisp_Loup_Loup
"Wenatchee, Squilchuck State Park",Wenatchee,WA,Squilchuck State Park,2023-10-08,2023-10-08_Wenatchee_Squilchuck_State_Park
"Wenatchee, Squilchuck State Park",Wenatchee,WA,Squilchuck State Park,2024-06-02,2024-06-02_Wenatchee_Squilchuck_State_Park
"Winthrop, Liberty Bell High School",Winthrop,WA,Liberty Bell High School,2023-06-04,2023-06-04_Winthrop_Liberty_Bell_High_School
"Winthrop, Liberty Bell High School",Winthrop,WA,Liberty Bell High School,2024-04-28,2024-04-28_Winthrop_Liberty_Bell_High_School
"Winthrop, Liberty Bell High School",Winthrop,WA,Liberty Bell High School,2025-05-18,2025-05-18_Winthrop_Liberty_Bell_High_School
