race_date_iso,team,riders
2023-04-16,Anacortes Composite,30
2023-04-16,Bainbridge Island,21
2023-04-16,Capitol City MTB,38
2023-04-16,Cedarcrest MTB,21
2023-04-16,Edmonds Composite,28
2023-04-16,Icicle Bicycle,19
2023-04-16,Independent,1
2023-04-16,Inland NW,38
2023-04-16,Issaquah Composite,21
2023-04-16,Key Penninsula Composite,11
2023-04-16,Kittitas County Composite,10
2023-04-16,Kootenai Composite,4
2023-04-16,Mercer Island,18
2023-04-16,Methow Valley Composite,15
2023-04-16,Metro Seattle MTB,23
2023-04-16,Monroe Composite,21
2023-04-16,Mt. Si MTB,3
2023-04-16,Northshore Composite,18
2023-04-16,Palouse Composite,11
2023-04-16,Pilchuck Composite,14
2023-04-16,Snohomish Composite,18
2023-04-16,Spokane Valley,19
2023-04-16,Tahoma MTB,23
2023-04-16,Wenatchee Devo,18
2023-04-16,Yakima,16
2023-04-30,Anacortes Composite,20
2023-04-30,Bainbridge Island,19
2023-04-30,Capitol City MTB,29
2023-04-30,Cedarcrest MTB,27
2023-04-30,Edmonds Composite,15
2023-04-30,Icicle Bicycle,20
2023-04-30,Independent,2
2023-04-30,Inland NW,43
2023-04-30,Issaquah Composite,21
2023-04-30,Key Penninsula Composite,10
2023-04-30,Kittitas County Composite,10
2023-04-30,Kootenai Composite,9
2023-04-30,Mercer Island,24
2023-04-30,Methow Valley Composite,17
2023-04-30,Metro Seattle MTB,24
2023-04-30,Monroe Composite,20
2023-04-30,Mt. Si MTB,3
2023-04-30,Northshore Composite,12
2023-04-30,Palouse Composite,11
2023-04-30,Pilchuck Composite,12
2023-04-30,Snohomish Composite,17
2023-04-30,Spokane Valley,18
2023-04-30,Tahoma MTB,24
2023-04-30,Three Rivers Devo,4
2023-04-30,Wenatchee Devo,23
2023-04-30,Yakima,17
2023-05-14,Anacortes Composite,13
2023-05-14,Bainbridge Island,17
2023-05-14,Capitol City MTB,28
2023-05-14,Cedarcrest MTB,25
2023-05-14,Edmonds Composite,13
2023-05-14,Icicle Bicycle,16
2023-05-14,Inland NW,47
2023-05-14,Issaquah Composite,18
2023-05-14,Key Penninsula Composite,8
2023-05-14,Kittitas County Composite,10
2023-05-14,Kootenai Composite,14
2023-05-14,Mercer Island,23
2023-05-14,Methow Valley Composite,19
2023-05-14,Metro Seattle MTB,22
2023-05-14,Monroe Composite,20
2023-05-14,Mt. Si MTB,1
2023-05-14,Northshore Composite,10
2023-05-14,Palouse Composite,17
2023-05-14,Pilchuck Composite,11
2023-05-14,Snohomish Composite,14
2023-05-14,Spokane Valley,17
2023-05-14,Tahoma MTB,19
