,team,city,state,zip,latitude,longitude
0,Anacortes Composite,Anacortes,WA,98221,,
1,Bainbridge Island,Bainbridge Island,WA,98110,,
2,Capitol City MTB,Olympia,WA,98501,,
3,Cedarcrest MTB,Cedarcrest,WA,98270,,
4,Edmonds Composite,Edmonds ,WA,98020,,
5,Icicle Bicycle,Leavenworth,WA,98826,,
6,Independent,,,,,
7,Inland NW,Spokane,WA,99201,,
8,Issaquah Composite,Issaquah,WA,98027,,
9,Key Penninsula Composite,Key Penninsula,WA,98349,,
10,Kittitas County Composite,Ellensberg,WA,98926,,
11,Kootenai Composite,Coeur d’Alene,ID,83858,,
12,Mercer Island,Mercer Island,WA,98040,,
13,Methow Valley Composite,Twisp,WA,98856,,
14,Metro Seattle MTB,Seattle,WA,98102,,
15,Monroe Composite,Monroe,WA,98272,,
16,Mt. Si MTB,North Bend,WA,98045,,
17,Northshore Composite,Bothell,WA,98011,,
18,Palouse Composite,Moscow,ID,83843,,
19,Pilchuck Composite,Pilchuck,WA,98223,,
20,Snohomish Composite,Snohomish,WA,98290,,
21,Spokane Valley,Spokane,WA,99206,,
22,Tahoma MTB,Tahoma,WA,98038,,
23,Wenatchee Devo,Wenatchee,WA,98801,,
24,Yakima,Yakima,WA,98908,,
25,Three Rivers Devo,Kennewick,WA,99338,,
26,Bonney Lake,Bonney Lake,WA,98391,,
27,Sultan-Sky MTB,Sultan,WA,98294,,
